id,seeker_post,response_post
1,I hate when my wife and son are away from me,I bet it gets lonely
3,No doubt_comma_ and there are too many crazy people in the world,Yes there are. Can't trust anyone these days.
5,For the last few nights I've heard weird sounds outside my bedroom window.,Oh no! Do you think it's a wild animal?
7,I don't think so_comma_ it doesn't sound like any animal I recognize. It's really creepy.,I hope it's not a crazy person or worse_comma_ an alien waiting to abduct you!
9,I love spending time and helping out my grandma,That's kind of you
11,She is so fun to be around too,I bet she really appreciates you
13,My former roomate left her cat keychain here. We fought a lot_comma_ but I kinda miss her now.,Is she far away from you now?
15,Yea. She's going to grad school across the country now.,Oh_comma_ can you go across there and visit her?
17,I swear traffic is the worst in this city. I was almost in a car accident on the interstate going 80 MPH the other ady with my baby in the car.,Wow you too! It's crazy how many bad drivers there are.
19,I know for real she was literally right beside me_comma_ didnt even look once and just swerved right into my lane - luckily there was no one beside me because i had to swerve to avoid her hitting me it was intense.,Well I'm glad you weren't hurt.
21,I've been processing what being lonely feels like_comma_ because I want to be able to have fun by myself sometimes,I think that's a good idea so you aren't always dependent on others to have fun and just enjoy time to yourself.
23,True_comma_ and I've felt that way before_comma_ but sometimes like a wave of those kinds of feelings hits like I'm not worthy enough and stuff like that_comma_ but it's all good,Meditation on goals and positive ideas during some of that alone time can be so uplifting and refocuses you.
25,Sometimes I'll forget to feed my dog. I can't help but feel bad about it...,That's not good at all
27,Yeah I feel super guilty,Can't you just leave food out? Or set an alarm on your phone?
29,my friend told me a secret,Was it a good one? Did you keep it?
31,yes_comma_ i did keep it. im holding it for a couple more days.,Is someone getting married_comma_ or a baby?
33,lol_comma_ its one of the them,Well tell them I said Congrats on whatever it is. As long as it's not a baby marriage.
35,lol.. i will this weekend. i never hold secrets. im doing a great job,Keep it secret_comma_ Keep it safe....
37,My friends went on vacation without me_comma_ and now I have no one to hang out with for 3 weeks.,That sucks_comma_ I'm sorry to hear it. Did they at least ask you first?
39,Yes but I couldn't go because of work. Guess I will have to suck it up and be lonely for a while.,At least they asked you_comma_ that's good. It will pass in no time and you'll be hanging soon I'm sure_comma_
41,I let my dad borrow 10 dollars!,Is there any emergency need for money?
43,Not for me_comma_ but dad always need money and I give to him.,It's our responsibility to take care of our parents.
45,I broke up with my girlfriend this same time last year,That's unfortunate_comma_ made a new one since?
47,Nope. I haven't felt anything for anyone since.,That's terrible_comma_ I hope you find someone soon.
49,My boyfriend and I broke up and he moved out.,That's really tough. But one closed door leads to the next great opportunity.
51,Before he left_comma_ he damaged a lot of my stuff and property.,That's horrible! If you don't have insurance there are a lot of pro bono lawyers that will take your case. Report it to the police so it is documented and justice will prevail. You don't deserve or need to put up with that.
53,I can't understand why some people earn so much money.,I know right
55,Yeah - my old boss used to get more than double my wage_comma_ yet I couldn't see what he brought to the role to deserve that.,I know exactly what you mean.
57,So I saw a guy at the gas station yesterday and he was over 40..listening to nasty rap and of course he got out to use the free air pump then just THREW it on the ground. They constantly have to replace it and it's the only free one in the area.,Oh_comma_ that sound alful! Some people have zero respect for others belonging and even less for things we all need to share.
59,I know right? It is so ghetto in my neighborhood but I just cannot stand people who behave that way. Yes zero respect and zero care for even their own things_comma_ let alone others. Its sad.,It is sad. Espically since if the same people acted like they cared and wanted to they could help make the enviroment better for everyone.
61,I am very happy that my popsicle business is finally thriving! I have worked so hard on it for many years.,That is great. Where are you selling your popsicle?
63,From my house and from a few local stores. I am not ready to make it any bigger than that.,I understand. Good luck.
65,My neighbor just got a pool installed. It has a slide and everything.,That sounds so fun! I would love to have a pool in my yard.
67,Oh me too_comma_ I wanted to get a pool and even described what I wanted to her and then she goes and gets one before me!,Wow! That is kind of messed up!
69,When we lost our car I felt lost. How do you put your life back together without transportation.,oh how sad_comma_ how did you lose your car?. Public transportation is not every one's cup of tea..
71,My husband lost his job and we got behind. We also live in a rural area about 15 minutes from town and an hour to the closest big city.,you guy's will get back everything you have lost. It is difficult for travel as you said
74,I miss being a kid. I saw a tv show today that made me think about that,Yes_comma_ I understand! Life is easier as a kid.
76,It really was_comma_ I miss it,Same sometimes_comma_ But I enjoy the freedom and indepence of being an adult.
78,I got asked to go on a cruise but_comma_ I'm not sure if I should.,Cruises are fun. What is the problem?
80,Do I really want to spend two weeks in a room with someone I don't know really really well?,Two weeks is a long time.
82,Indeed it is,I wouldnt risk it
84,i i feel lower than dirt after betraying my wifes trust,how did that happen
86,i was being unfaithful,ah well that would be a good reason then
88,I doubt I will get any sleep waiting for tomorrow.,I'm sorry to hear. Why is that?
90,I am finally getting to take the kids to Disneyland!,Oh_comma_ well that is a fine thing indeed! I would be jumping up and down!
92,My daughter had the sweetest little hamster.,Aww_comma_ I love hamsters! What kind of a hamster was it?
94,It was a teddy bear hamster. One day she went to feed it and it had died_comma_ she was crushed.,That's horrible. Is she doing okay now?
96,I was very angry when a co worker lied about a car accident to get out of working July 4th. I covered his shift till midnight and he was lying about the accident,That isn't very nice.
98,Yeah he got caught in someones pics on Facebook. Never lie and then go out with people who like to take pictures.,Yes. I do not have a Facebook.
101,My wife has been out of the country for school for a while. Dropping her off at the airport was really hard.,Do you guys get to talk a lot?
103,Yeah_comma_ we talk by text all the time and call every day. It's still hard though_comma_ we haven't been apart longer than a couple days since we met.,Getting through it can only make your relationshipi stronger though
105,Have you ever heard a song on the radio and it just takes you back to a different time? Like an escape?,All the time. That is part of listening to music I suppose. The songs remind you of when you first heard them.
107,Yeah_comma_ I guess that's fair. It happens all the time to me too. Sometimes makes me wish I was reliving those moments but I don't think I would really want to go back..,I know what you mean. However_comma_ the older I get the more I want to go back LOL.
110,I was pretty angry when my mom wanted to divorce my dad. I thought she was crazy,ooooh thats so bad what happened
112,They stayed together_comma_ but it wasnt the same,sorry now how is the situation
114,My father dropped in unexpectedly_comma_ I hadn't seen him in 3 years!,That's awesome! Did you guys do anything?
116,We went to my favorite cafe!,Nice! I hope you guys did a lot of catching up!
