speaker_utterance,listener_utterance,usable,id,Empathy_1,Empathy_2,final_label,rate,rate_reason,binary_rate,binary_rate_reason
"What’s your favorite subject?
",Nature and technology.,1,ND_1,1,1,1,1,"The listener's response lacks any elements of empathy, as there is no emotional or cognitive engagement with the speaker's question. The listener simply provides an answer without further inquiry or reflection on the speaker's interests, emotions, or motivations. The interaction remains on a factual level without any empathetic connection.",1,"The listener's response is factual and does not display any empathy. The interaction is a straightforward question-and-answer exchange without elements of empathy, as there is no emotional or cognitive engagement demonstrated regarding the speaker's potential interest or feelings about the topic."
What are your ages?,My age is 12.,1,ND_1,1,1,1,1,The listener simply responds with factual information about their age without showing any affective or cognitive empathy related to the conversation. There is no indication of understanding or emotional engagement with the speaker's inquiry.,1,"The exchange does not provide any affective or cognitive understanding or demonstration of empathy, as it is purely an informational question and answer without any emotional content or indication of concern or understanding of the speaker's situation or feelings."
What grade are you?,6th grade. But we have a different grading school. It starts from zero.,1,ND_1,1,1,1,1,"The listener's response lacks any form of empathy, whether affective, cognitive, or behavioral. The listener simply provides factual information about their grading system without engaging with the emotions or intentions behind the speaker's question. The exchange is devoid of emotional understanding or interest in the speaker's perspective or situation.",1,"The listener's response does not demonstrate empathy towards the speaker. While the listener provides information about their grade and explains the grading system, they do not exhibit any emotional understanding or concern for the speaker's feelings or motivations for asking about the grade. There is no expression of interest in the speaker's emotional state or their reason for inquiring about the grade."
We also start with zero,How’s your school?,1,ND_1,2,3,3,1,"The listener's response does not acknowledge or express understanding of the speaker's statement. It instead introduces a new topic without engaging with the speaker's original comment, showing little to no affective or cognitive empathy.",1,"The listener's response does not show any understanding or acknowledgment of the speaker's statement. Instead, they abruptly change the subject to asking about school, which does not demonstrate empathy, either affectively or cognitively, towards what the speaker mentioned about starting with zero."
It is wonderful.,"To be honest, I hate my school. I don’t like going to school.",1,ND_1,1,1,1,1,"The listener does not demonstrate empathy towards the speaker. Instead, they abruptly change the topic to their own feelings about school, which shows little to no recognition or reflection of the speaker's positive statement. There is no affective or cognitive empathy displayed toward the original sentiment shared by the speaker. The listener's response is self-focused and does not acknowledge the speaker's emotion.",1,"The listener's response does not acknowledge or engage with the speaker's statement at all. Instead of reacting to what the speaker says about something being wonderful, the listener abruptly shifts the topic to their own feelings about school without any indication of understanding or sharing the emotional context of the speaker's statement. This response lacks both cognitive and affective empathy towards the speaker."
I like school.,"I like school, but I also don’t? I don’t know",1,ND_1,1,1,1,1,"The listener responds with their own mixed feelings about school rather than engaging with the speaker's positive sentiment. There is no indication of understanding or interest in the speaker's emotional state, which limits the behavioral empathy in the response.",1,"The listener does not express any interest in or understanding of the speaker's feelings towards school. Instead, the listener immediately shares their own mixed feelings about school without acknowledging the speaker's positive sentiment. There is no demonstration of cognitive or affective empathy in this exchange."
I took this picture of my bike because I go to school on it. You can also see my house in the background.,Do you go to school without a school uniform?,1,DN_1,1,1,1,1,"The listener's response lacks empathy as it does not address or acknowledge the speaker's experience or emotions about their bike or home. Instead, the response shifts the focus to a tangential topic (school uniform) without showing any interest in the speaker's personal sharing.",1,"The listener's response shifts the focus away from the speaker's interest in their bike and house to an unrelated question about school uniforms. This response does not acknowledge or demonstrate understanding of the speaker's emotions or situation, showing a lack of affective or cognitive empathy."
Yeah because I go to a public school.,I see. Do you guys do the piano dance?,1,DN_1,1,1,1,1,"The listener's response does not exhibit affective or cognitive empathy. There is no emotional engagement or understanding displayed regarding the speaker attending a public school. Instead, the listener quickly shifts to asking an unrelated question about a ""piano dance,"" which does not show an interest in understanding or connecting with the speaker's experience or feelings.",1,"The listener's response lacks empathy as it does not acknowledge or engage with the emotional aspect of the speaker's statement. The listener immediately shifts the topic to the ""piano dance"" without showing any interest in the speaker's experience at a public school or how they feel about it. There is no demonstration of affective or cognitive empathy."
I used to play the piano. But now I play the violin.,"No, I’m talking about dancing.",1,DN_1,1,1,1,1,"The listener did not acknowledge or engage with the speaker's remark about their change in musical interest from piano to violin. Instead, the listener redirected the conversation to a different topic (dancing) without demonstrating any understanding or interest in the speaker's statement. This shows little to no empathy in terms of acknowledging or exploring the speaker's feelings or interests.",1,"The listener's response diverts the conversation from the speaker's topic without acknowledging or engaging with the speaker's experience of transitioning from piano to violin. There is no demonstration of cognitive or affective empathy, and the listener doesn't show interest in the speaker's past or current musical experience."
"oh no, I do ballet.","I see.
",1,DN_1,1,1,1,1,"The listener's response ""I see"" lacks both cognitive and affective empathy. It does not demonstrate understanding or concern for the speaker's situation or emotions related to doing ballet. There is no expression of interest, support, or attempt to connect with the speaker's emotional state.",1,"The listener simply acknowledges what the speaker said without showing any understanding or concern for the speaker's feelings or situation. There is no indication of cognitive or affective empathy, and the listener's response lacks any interest or engagement in the speaker's statement about doing ballet."
How do you go to school? ,I live in the school.,1,DN_1,1,1,1,1,"The listener's response lacks any demonstration of empathy, either affective or cognitive. It is a straightforward statement of fact without engaging with or reflecting on the speaker's possible curiosity or feelings about school attendance. There is also no attempt at emotional connection or understanding.",1,The listener's response does not demonstrate affective or cognitive empathy. It simply provides factual information about their living situation without communicating any understanding or interest in the speaker's emotional state or context.
Are you guys not having exams?,"Oh no, not at the moment. Well, she might but I’m not. What’s the name of you guys’ school?",1,ND_2,2,3,3,1,"The listener's response is more informational and does not demonstrate affective or cognitive empathy towards the speaker. There is no indication of understanding or sharing emotions, nor any expressions of interest in the emotional state or situation of the speaker.",1,"The listener's response lacks any affective or cognitive empathy towards the speaker's inquiry about exams, and instead redirects the conversation by asking about the name of the speaker's school. There is no expression of understanding or concern about the situation regarding exams, which would indicate empathy."
 primary school. And yours?,"We go to Bember and she goes to South
",1,ND_2,1,1,1,1,"The exchange lacks any indication of empathy from the listener. The response is simply a factual statement without any expression of understanding, emotion, or interest in the speaker’s situation or feelings. There is no cognitive or affective empathy demonstrated, nor any behavioral empathy as defined in the hierarchy.",1,"The listener's response provides factual information about their situation, but it does not express emotional understanding or interest in the speaker's situation or feelings. There is no display of cognitive or affective empathy."
"Those are nice school names. And really, what is your favorite sport?",My favorite sport is probably soccer,1,ND_2,1,1,1,1,"The listener did not show any affective or cognitive empathy towards the speaker's statement. Instead, they just answered the question about their favorite sport without engaging with the speaker's comment about school names. The exchange lacks expressions of understanding or interest in the speaker's emotional state or situation.",1,"The listener's response is straightforward and does not demonstrate any cognitive or affective empathy. The listener answers the question asked but does not engage with the speaker's feelings or emotions, nor do they provide further engagement or interest in the speaker's situation."
Oh! ,I used to play but now I don't play much anymore,1,ND_2,1,1,1,1,The listener's response does not demonstrate any form of empathy towards the speaker. There's no indication of understanding or interest in the speaker's emotional state. The listener's response is self-referential and does not acknowledge or build upon the speaker's expression.,1,The listener's response does not show any affective or cognitive empathy towards the speaker's expression. The statement seems detached and focuses on the listener's own experience without acknowledging the speaker's feelings or context.
Why?! ,"Maybe it is cause I do other things, like I act. I’m an actor",1,ND_2,1,1,1,1,"The listener's response does not address the speaker's emotional expression or the question ""Why?!"". There is no indication of understanding the speaker's emotions or situation, nor is there any attempt to explore or engage with the speaker's feelings. The listener shifts focus to themselves, which lacks affective, cognitive, and behavioral empathy.",1,"The listener does not acknowledge or respond to the speaker's emotional state or reason behind the speaker's exclamation of ""Why?!"". Instead, the listener shifts the conversation toward themselves and their profession, showing neither cognitive nor affective empathy."
Wow!,Actress I guess,1,ND_2,1,1,1,1,"The listener's response does not demonstrate any kind of empathy—affective, cognitive, or behavioral. There is no emotional congruence, understanding, or engagement with the speaker's excitement displayed in the listener's reply. The listener’s response is disconnected and does not address the speaker's exclamation or emotional state.",1,"The listener's response ""Actress I guess"" does not exhibit any understanding or acknowledgment of the speaker's emotional state. It lacks cognitive empathy, as it does not show an understanding of why the speaker might be expressing surprise or excitement with their ""Wow!"" There is also no affective empathy or emotional congruence with the speaker's presumed excitement or surprise. Additionally, no behavioral empathy is demonstrated as the listener does not engage with the speaker's emotional expression."
What movie did you play?,"Oh, not like a movie actor. Just musical theater and art creatively ",1,ND_2,2,2,1,1,"The listener's response does not exhibit empathy. They focus on clarifying the context of their acting experience without addressing any emotional aspect from the speaker. There is no display of affective or cognitive empathy, nor any conversation that shows understanding or interest in the speaker's curiosity or emotional state.",1,The listener’s response does not display cognitive or affective empathy. The listener answers the question without showing any understanding or interest in the speaker's curiosity or feelings about the topic. There is no attempt to connect with the speaker's intention or emotions behind the question.
Oh,"Like, do you know about it? So, I just do…there’s a field of theater districts in Bloomington that I do just once in a while. I’m not hugely hugely experienced but I enjoy it and singing",1,ND_2,1,1,1,1,"The listener does not acknowledge or respond to the speaker's expression or emotion. Instead, the listener shifts the topic to their own interests, which does not demonstrate any affective or cognitive empathy toward the speaker. There is little to no engagement with the speaker’s emotional state or the context of their exclamation.",1,"The listener's response does not acknowledge or engage with the speaker's expression or potential emotions. The listener seems to redirect the conversation to their own experience without addressing or showing understanding or interest in the speaker's initial statement of ""Oh."" There is no demonstration of affective or cognitive empathy in this exchange."
So you sing?,Yes,1,ND_2,1,1,1,1,"The listener's response is very minimal and does not demonstrate any affective, cognitive, or behavioral empathy. There is no indication of understanding or interest expressed towards the speaker's inquiry.",1,The listener's response is straightforward and lacks any expression of empathy or interest in the speaker's comment or any potential related emotions. The exchange is purely informational with no evident emotional connection or understanding demonstrated by the listener.
What’s your favorite song,"You know, I don’t really have a favorite song but probably anything from Hamilton.",1,ND_2,1,1,1,1,The listener's response focuses on their own preference rather than engaging with or exploring the speaker's interests. This self-centered reply lacks any affective or cognitive empathy and does not express interest in the speaker's emotional state or their situation. There's no indication of attempting to connect with or understand the speaker's intention behind asking about favorite songs.,1,"The listener's response doesn't demonstrate empathy, as it does not reflect any understanding or emotional engagement with the speaker. The response is factual and on-topic but lacks any expression of interest or inquiry about the speaker's preferences or feelings. There is no effort to connect on an emotional or cognitive level."
Can you sing for us?,"Hahaha, I don’t know. There is this weird thing, I can sing in front of people I don’t know. But singing in a room with people I know is so weird.",1,ND_2,1,1,1,1,"The listener shares their personal experience and feels comfortable confessing their discomfort, but the response does not exhibit any affective or cognitive empathy towards the speaker's request or situation. The listener does not connect to or express understanding or interest in the speaker’s perspective or feelings.",1,"The listener's response does not demonstrate empathy towards the speaker's request. Instead, it focuses on the listener's personal thoughts and experiences about singing, without addressing or acknowledging the speaker's interest in hearing them sing. The response lacks an emotional connection or understanding of the speaker's request."
How is your country like (there?),Pretty good. How is yours?,1,ND_2,2,3,3,1,The listener's response does not convey any understanding or acknowledgment of the speaker's experiences or emotions. It is a basic reciprocal question without any demonstration of affective or cognitive empathy. The listener does not exhibit any interest in the speaker's feelings or situation.,1,The listener's response lacks any indication of emotional engagement or understanding of the speaker's feelings. The listener simply answers the speaker's question without any effort to explore the speaker's feelings or situation further. There is no expression of interest or empathy towards the speaker's experience or emotions related to their country.
Fine. Is it daytime?,Do you guys have pets?,1,ND_2,1,1,1,1,"The listener did not address the speaker's initial question or show any understanding or interest in the speaker's emotional state or situation. Instead, the listener abruptly changed the topic, indicating a lack of empathetic engagement.",1,"The listener's response doesn't address or acknowledge the speaker's state or the question about the time of day. Instead, it shifts the topic to pets, demonstrating a lack of engagement or understanding of the speaker's current situation or emotions. There is no demonstration of affective, cognitive, or behavioral empathy."
What’s the name of your instrument?,It is a trombone.,1,ND_2,1,1,1,1,The response from the listener is purely informative and does not demonstrate empathy. There is no attempt to understand or engage with the speaker’s emotions or reveal any empathy-related aspect.,1,"The response is factual and lacks any expression of empathy. There is no indication of affective, cognitive, or behavioral empathy demonstrated by the listener. The listener simply provides a direct answer to the speaker's question."
"I enjoy making costumes. I like roleplaying.
",Is that a school project or you’re just doing it for fun?,1,DN_2,3,3,3,1,"The listener's response does not demonstrate empathy. There is no expression of understanding or interest in the speaker's feelings or emotions about their enjoyment of making costumes and roleplaying. Instead, the listener's question focuses solely on obtaining factual information without engaging with the emotional content of the speaker's statement.",1,"The listener's response does not demonstrate empathy. They ask a question about the speaker's activity, which might show some interest, but it lacks any emotional connection or understanding of the speaker's feelings. There is no acknowledgment of the speaker's interest or enjoyment in making costumes and roleplaying."
