id,speaker_utterance,listener_utterance,s_negative,s_neutral,s_positive,l_negative,l_neutral,l_positive,predictions_ER,valence_speaker,arousal_speaker,dominance_speaker,valence_listener,arousal_listener,dominance_listener,s_word_len,l_word_len,agreeing,acknowledging,encouraging,consoling,sympathizing,suggesting,questioning,wishing,neutral,mimicry,empathy,prediction,mimicry_face,mimicry_pose,mimicry_combined,rate,rate_reason,binary_rate,binary_rate_reason
sub_1_conv_1,So once I felt like I really trust my dog when I could just let him off the leash and he would just follow me around. I feel like I could trust him then.,That sounds very interesting. And do you often go for walks with your dog?,0.004677213,0.12312584,0.872197,0.0012756482,0.05120994,0.9475145,1,0.321818181818182,-0.098181818181818,0.037090909090909,0.406333333333333,0.083333333333333,-0.011333333333333,34,14,9.16893040994182E-05,0.004910832736641,6.04836459388025E-05,8.75442201504484E-05,0.000203250005143,0.000107808649773,0.994378745555878,8.75989207997918E-05,7.20070311217569E-05,1,1,3,0,1,1,2,"The listener responds with interest in the speaker's situation by asking a follow-up question about the dog's walks, showing a degree of cognitive empathy. However, the response lacks a deeper emotional engagement or an acknowledgement of the speaker's feelings of trust and bonding with their dog. The use of pose mimicry (1) slightly enhances the empathetic behavior by mirroring the speaker's non-verbal cues.",1,"The listener's response is more factual and shifts the conversation to a new question rather than acknowledging or reflecting on the speaker's feelings about trusting their dog. Additionally, while the listener displays curiosity by asking a follow-up question, there is no evident affective or cognitive empathy communicated about the speaker's trust in their dog. The pose mimicry might indicate some level of engagement, but it does not compensate for the lack of empathetic verbal communication."
sub_1_conv_1,"Yes, he is a really really good dog. He's a good boy and I can trust that he behaves even though we sometimes have like many people going around there",How long have you been together?,0.002908503,0.035172667,0.9619188,0.06969031,0.8724827,0.05782699,0,0.597,-0.154666666666667,0.054,0.415,-0.255,0.201,30,6,6.10792412771843E-05,0.000191211409401,8.20694622234441E-05,1.60937943292083E-05,3.92569563700817E-05,0.000109647982754,0.999203145503998,0.000203933668672,9.3604154244531E-05,1,1,1,0,1,1,1,"The listener did not acknowledge the speaker's positive feelings about their dog or express any understanding or interest in the speaker's emotional state. Instead, the listener shifted the conversation to a factual question about the duration of the relationship with the dog. Although the listener showed some interest in the speaker's situation by asking a question, it lacked affective or cognitive empathy. Pose mimicry was present, which shows some engagement, but it was not sufficient to elevate the empathy rating in this context.",1,"The listener asks a question that shifts the focus away from the speaker's expressed affection and trust towards the dog and instead focuses on the duration of their relationship. While the question is relevant, it doesn't acknowledge the emotional content of the speaker's message about their dog's good behavior. The listener's pose mimicry is present, but the verbal response lacks an expression of understanding or interest in the speaker's emotional state."
sub_1_conv_2,So once I felt really really sad when my friends just cancelled my birthday dinner that they told me like a week before that that we will have it and then they just cancelled out of the blue.,how can they do that?,0.9292098,0.064476326,0.006313846,0.7041964,0.27955472,0.01624885,0,0.377333333333333,-0.220222222222222,-0.128222222222222,0.332,-0.092,-0.01,38,5,3.3510776120238E-05,0.00013896614837,5.49843280168716E-05,3.09336974169128E-05,3.86871543014422E-05,9.01005769264885E-05,0.99950110912323,6.25196771579795E-05,4.91993887408171E-05,1,1,1,1,1,1,1,"The listener's response, ""how can they do that?"" demonstrates a limited level of empathy. While it does express a sense of disbelief or disapproval about the friends' actions, it doesn’t show understanding or depth in recognizing the speaker's feelings of sadness. There is no expression of emotional congruence or an attempt to provide comfort. Even with pose mimicry, the listener's reaction lacks affective or cognitive empathy and doesn't effectively address the emotional state of the speaker.",1,"The listener's response, ""how can they do that?"" shows a lack of understanding or acknowledgment of the speaker's emotional state. The listener only reacts to the action of the friends canceling the dinner and does not display any cognitive or affective empathy toward the speaker's sadness. Even though there is pose mimicry, which indicates some level of non-verbal engagement, the empathy conveyed through words is minimal. The listener does not acknowledge the depth of the speaker's feelings or provide any comfort."
sub_1_conv_2,"They said that they were all busy and they had something but I don't know, I think they just made an excuse there, which made me really sad.",I hope that I can be there with you. Maybe can make you feel better.,0.9298018,0.06558223,0.0046160053,0.0034300294,0.10442916,0.8921408,1,-0.0328,-0.0808,-0.0948,0.5415,-0.2105,0.1845,28,15,0.000657131837215,0.000908888236154,0.006333129480481,0.492225140333176,0.010677684098482,0.48725551366806,0.001552655827254,0.000259744439973,0.000130093059852,0,1,3,0,0,0,3,"The listener's response demonstrates both cognitive and behavioral empathy. They acknowledge the speaker's feelings by expressing a wish to be there and provide support to make the speaker feel better. Although there is no pose mimicry, the verbal communication effectively shows empathy and concern for the speaker's emotional state.",2,"The listener's response demonstrates empathy by expressing a desire to be there for the speaker and offering support to make them feel better. Although the listener's pose mimicry is not present (0), the verbal communication reflects both cognitive and affective empathy, acknowledging the speaker's sadness and showing interest in alleviating it."
sub_1_conv_3,I recently went to the water park and it was like super super fun like I have never gone there and and well now I have and it's great,it's great to hear that who do you go there with?,0.0015502466,0.00727023,0.9911795,0.001153604,0.016977625,0.9818688,1,0.5358,-0.075,0.111,0.485333333333333,0.023333333333333,0.132,29,11,3.45132975780871E-05,0.000483621784952,3.84589548048098E-05,2.35602128668688E-05,0.00011988197366,0.000218073371798,0.998948037624359,5.97790640313178E-05,7.40746181691065E-05,1,1,3,1,0,1,2,"The listener's response, ""it's great to hear that who do you go there with?"" demonstrates some cognitive empathy by acknowledging the speaker's positive experience and showing interest in the details. However, the absence of affective engagement and the lack of pose mimicry result in a somewhat empathetic but not fully engaged interaction. The response shows interest but does not fully capture or mirror the speaker's excitement.",2,"The listener acknowledges the speaker’s excitement and asks a follow-up question that shows interest in the speaker's experience. This demonstrates behavioral empathy by engaging with the speaker’s emotions and continuing the conversation on the same topic. Despite the lack of pose mimicry, the listener's response still shows a level of empathy as it reinforces the speaker's positive feelings and shows genuine interest in their story."
sub_1_conv_3,"Oh, I went alone, which sometimes you would think it's like bad, but no, I had a really fun time.",That sounds very good.,0.083364576,0.22447962,0.69215584,0.0018175315,0.015590987,0.98259145,1,0.136571428571429,-0.115428571428571,-0.041142857142857,0.703,-0.009,-0.068,20,4,0.00031434308039,0.997209370136261,0.000196240376681,0.000252550438745,8.86329216882587E-05,5.46364608453587E-05,5.54709877178539E-05,0.001747955800965,8.0771635111887E-05,1,1,1,0,1,1,1,"The listener's response is minimal and lacks specific engagement with the speaker's emotional experience. It does not demonstrate a deeper understanding or validation of the speaker's feelings. The statement ""That sounds very good"" does not convey any affective or cognitive empathy. Even though there is pose mimicry, the verbal component is insufficient for a higher empathy rating.",1,"The listener's response, ""That sounds very good,"" is quite general and does not express much interest or concern for the speaker's emotional state or experience. While it acknowledges that the speaker had a good time, it lacks depth in terms of showing understanding or sharing in the speaker's emotions. Additionally, the simple acknowledgment does not communicate any further interest in the details of the speaker's experience. The pose mimicry is present, but it does not compensate enough for the lack of affective and cognitive empathy in the verbal response."
sub_1_conv_4,I was recently very afraid because I saw a huge spider just while I was taking a shower. like I was just there and suddenly opened my eyes and there was this huge spider and it moved so fast oh it was it was very scary,so scary I'm also afraid of spider a lot,0.7559398,0.21653053,0.027529681,0.85399455,0.1354718,0.010533693,0,-0.167090909090909,0.114545454545454,-0.021818181818182,-0.584,0.2555,-0.2135,46,9,0.000428833009209,0.997564196586609,0.000228821867495,6.40212165308185E-05,9.96665476122871E-05,3.56991949956864E-05,8.55925172800198E-05,0.001353373052552,0.00013982092787,1,1,3,1,0,1,3,"The listener effectively communicates both affective and cognitive empathy. They mirror the speaker's emotion by acknowledging that the situation described was ""so scary"" and further personalizes their response by sharing their own fear of spiders. This creates an emotional connection and shows understanding of the speaker's feelings. Although there is no pose mimicry, the verbal response sufficiently demonstrates high behavioral empathy.",2,"The listener demonstrates empathy by acknowledging the speaker's fear (""so scary"") and sharing a similar personal fear (""I'm also afraid of spider a lot""), which shows both understanding and emotional congruence. Although there is no pose mimicry, the verbal response effectively conveys empathy."
sub_1_conv_4,yeah they're like very nasty and if they like bite you I heard some can actually kill you,I will immediately run away if I saw a spider,0.961331,0.035199925,0.0034690788,0.60515225,0.37194884,0.0228989,0,-0.171333333333333,0.141,-0.048,-0.0652,0.234,0.1732,18,10,0.031797599047422,0.692701041698456,0.000527003023308,0.046321760863066,0.000841697095893,0.000582828361075,0.003543650265783,0.001322542317212,0.222361907362938,1,1,2,0,1,1,1,"The listener's response lacks both affective and cognitive empathy. There is no indication that the listener understands or acknowledges the speaker's feelings about spiders being nasty and potentially dangerous. Instead, the listener shifts the focus to their own reaction to seeing a spider. Despite the pose mimicry, the overall communication does not demonstrate empathy towards the speaker's emotions or concerns.",1,"The listener's response focuses on their own reaction to seeing a spider rather than addressing the speaker's concern or emotions about the dangerous spiders. The response does not show cognitive empathy (understanding the speaker's feelings) or affective empathy (sharing the speaker’s emotion, which seems to be fear or concern). Therefore, it fails to demonstrate behavioral empathy. The listener’s pose mimicry, although present, is not enough to indicate a higher level of empathy without supportive verbal communication."
sub_1_conv_5,"So, recently I lost my wallet and I didn't like expect to see it again. So it was very surprising that an old man contacted me that he found it on the street and he actually gave it to me. that is pretty impressive. I feel like I gained some faith in humanity.",That's really common in Japan. People will find it and help you.,0.017873999,0.09280969,0.8893163,0.008050589,0.26416495,0.72778445,0,0.396714285714286,-0.073571428571429,0.047,0.3272,-0.186,-0.0248,53,12,0.00014324906806,0.000859365682118,0.000970859604422,0.996418356895447,0.000487762852572,0.000533427635673,0.000331573857693,0.000189323342056,6.6029533627443E-05,1,1,3,0,0,0,1,"The listener's response is dismissive of the speaker's emotions and unique experience, making it less empathetic. Rather than acknowledging the speaker's emotional journey—losing the wallet, receiving help, and regaining faith in humanity—the listener neutralizes it by stating that it's common in another culture. This response doesn't show affective or cognitive empathy, nor does it demonstrate interest in the speaker's emotional state. Additionally, the lack of pose mimicry further suggests a lower level of behavioral empathy.",1,"The listener's response lacks emotional engagement with the speaker's feelings. While the speaker shares a personal and uplifting experience that restored their faith in humanity, the listener's reply is more factual and generalizes the behavior rather than acknowledging how the speaker feels. There is no explicit recognition of the speaker's emotions or an attempt to connect with them on an affective level. Additionally, the lack of pose mimicry further indicates a lower level of behavioral empathy."
sub_1_conv_5,"Yeah, that is amazing. That is something that I don't expect in other parts of the world, right? That is... Wow.",That's great.,0.013333789,0.047628444,0.93903774,0.0026238705,0.017391047,0.9799851,1,0.290666666666667,-0.194,0.101666666666667,0.916,0.33,0.62,21,2,0.000293220567983,0.998143911361694,0.00023151631467,0.000458448048448,7.75760709075257E-05,3.63613908120897E-05,5.79081206524279E-05,0.000614777905867,8.61474327393808E-05,0,1,3,0,0,0,1,"The listener's response ""That's great..."" is minimal and rather generic, not demonstrating an understanding of the speaker’s emotions or situation. There is little to no effort to connect emotionally or cognitively with the speaker's amazement. Additionally, the lack of pose mimicry further suggests a lower level of behavioral empathy.",1,"The listener's response, ""That's great,"" is minimal and does not demonstrate significant interest or understanding of the speaker's emotional state or the specific sentiment expressed. There is no further engagement with the speaker's point, and the listener does not display cognitive empathy by attempting to expand on or relate to the speaker's observation. Additionally, the listener did not mimic the speaker's pose, which could have added to the empathetic response. Overall, the listener's response shows low behavioral empathy."
