id            ,speaker_utterance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,listener_utterance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,s_negative    ,s_neutral    ,s_positive   ,l_negative   ,l_neutral    ,l_positive   ,predictions_ER ,valence_speaker     ,arousal_speaker      ,dominance_speaker    ,valence_listener     ,arousal_listener     ,dominance_listener   ,s_word_len ,l_word_len ,agreeing             ,acknowledging        ,encouraging          ,consoling            ,sympathizing         ,suggesting           ,questioning          ,wishing               ,neutral              ,mimicry ,empathy
sub_1_conv_1  ,So once I felt like I really trust my dog when I could just let him off the leash and he would just follow me around. I feel like I could trust him then.                                                                                                                                                                                                                                                                                                                                                                                                                                             ,That sounds very interesting. And do you often go for walks with your dog?                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,0.004677213   ,0.12312584   ,0.872197     ,0.0012756482 ,0.05120994   ,0.9475145    ,             1 ,0.321818181818182   ,-0.0981818181818182  ,0.0370909090909091   ,0.406333333333333    ,0.0833333333333333   ,-0.0113333333333333  ,        34 ,        14 ,9.16893040994182E-05 ,0.00491083273664117  ,6.04836459388025E-05 ,8.75442201504484E-05 ,0.000203250208869576 ,0.000107808649772778 ,0.994378745555878    ,8.75990008353256E-05  ,7.20070311217569E-05 ,      1 ,      1
sub_1_conv_1  ,"Yes, he is a really really good dog. He's a good boy and I can trust that he behaves even though we sometimes have like many people going around there"                                                                                                                                                                                                                                                                                                                                                                                                                                              ,How long have you been together?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,0.002908503   ,0.035172667  ,0.9619188    ,0.06969031   ,0.8724827    ,0.05782699   ,             0 ,0.597               ,-0.154666666666667   ,0.054                ,0.415                ,-0.255               ,0.201                ,        30 ,         6 ,6.10792412771843E-05 ,0.000191211409401149 ,8.20694622234441E-05 ,1.60937943292083E-05 ,3.92569963878486E-05 ,0.00010964808461722  ,0.999203145503998    ,0.000203933464945294  ,9.36041542445309E-05 ,      1 ,      1
sub_1_conv_2  ,So once I felt really really sad when my friends just cancelled my birthday dinner that they told me like a week before that that we will have it and then they just cancelled out of the blue.                                                                                                                                                                                                                                                                                                                                                                                                       ,how can they do that?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,0.9292098     ,0.064476326  ,0.006313846  ,0.7041964    ,0.27955472   ,0.01624885   ,             0 ,0.377333333333333   ,-0.220222222222222   ,-0.128222222222222   ,0.332                ,-0.092               ,-0.01                ,        38 ,         5 ,3.3510776120238E-05  ,0.000138966148369946 ,5.49843280168716E-05 ,3.09336974169128E-05 ,3.86871543014422E-05 ,9.01005769264884E-05 ,0.99950110912323     ,6.25196771579795E-05  ,4.91993887408171E-05 ,      1 ,      1
sub_1_conv_2  ,"They said that they were all busy and they had something but I don't know, I think they just made an excuse there, which made me really sad."                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,I hope that I can be there with you. Maybe can make you feel better.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,0.9298018     ,0.06558223   ,0.0046160053 ,0.0034300294 ,0.10442916   ,0.8921408    ,             1 ,-0.0328             ,-0.0808              ,-0.0948              ,0.5415               ,-0.2105              ,0.1845               ,        28 ,        15 ,0.000657131487969309 ,0.000908888701815158 ,0.00633313227444887  ,0.492225348949432    ,0.0106776813045144   ,0.487255275249481    ,0.00155265571083874  ,0.000259744323557243  ,0.000130093001644127 ,      0 ,      1
sub_1_conv_3  ,I recently went to the water park and it was like super super fun like I have never gone there and and well now I have and it's great                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,it's great to hear that who do you go there with?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,0.0015502466  ,0.00727023   ,0.9911795    ,0.001153604  ,0.016977625  ,0.9818688    ,             1 ,0.5358              ,-0.075               ,0.111                ,0.485333333333333    ,0.0233333333333333   ,0.132                ,        29 ,        11 ,3.45132975780871E-05 ,0.000483621784951538 ,3.84589911845978E-05 ,2.35602128668688E-05 ,0.000119881973660085 ,0.000218073153519072 ,0.998948037624359    ,0.0000597791186009999 ,7.40746181691065E-05 ,      1 ,      1
sub_1_conv_3  ,"Oh, I went alone, which sometimes you would think it's like bad, but no, I had a really fun time."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,That sounds very good.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,0.083364576   ,0.22447962   ,0.69215584   ,0.0018175315 ,0.015590987  ,0.98259145   ,             1 ,0.136571428571429   ,-0.115428571428571   ,-0.0411428571428572  ,0.703                ,-0.00900000000000001 ,-0.068               ,        20 ,         4 ,0.000314343080390245 ,0.997209370136261    ,0.000196240376681089 ,0.000252550438744947 ,8.86329216882587E-05 ,5.46364608453587E-05 ,5.54709877178539E-05 ,0.00174795580096543   ,8.07717151474208E-05 ,      1 ,      1
sub_1_conv_4  ,I was recently very afraid because I saw a huge spider just while I was taking a shower. like I was just there and suddenly opened my eyes and there was this huge spider and it moved so fast oh it was it was very scary                                                                                                                                                                                                                                                                                                                                                                            ,so scary I'm also afraid of spider a lot                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,0.7559398     ,0.21653053   ,0.027529681  ,0.85399455   ,0.1354718    ,0.010533693  ,             0 ,-0.167090909090909  ,0.114545454545455    ,-0.0218181818181818  ,-0.584               ,0.2555               ,-0.2135              ,        46 ,         9 ,0.000428833009209484 ,0.997564196586609    ,0.000228821867494844 ,0.0000640211510472   ,9.96666421997361E-05 ,3.56991949956864E-05 ,8.55925172800198E-05 ,0.00135337305255234   ,0.00013982092787046  ,      1 ,      1
sub_1_conv_4  ,yeah they're like very nasty and if they like bite you I heard some can actually kill you                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,I will immediately run away if I saw a spider                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,0.961331      ,0.035199925  ,0.0034690788 ,0.60515225   ,0.37194884   ,0.0228989    ,             0 ,-0.171333333333333  ,0.141                ,-0.048               ,-0.0652              ,0.234                ,0.1732               ,        18 ,        10 ,0.0317975953221321   ,0.692700803279877    ,0.000527003372553736 ,0.0463216491043568   ,0.000841695989947766 ,0.000582828477490693 ,0.0035436456091702   ,0.00132254185155034   ,0.222362250089645    ,      1 ,      1
sub_1_conv_5  ,"So, recently I lost my wallet and I didn't like expect to see it again. So it was very surprising that an old man contacted me that he found it on the street and he actually gave it to me. that is pretty impressive. I feel like I gained some faith in humanity."                                                                                                                                                                                                                                                                                                                                ,That's really common in Japan. People will find it and help you.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,0.017873999   ,0.09280969   ,0.8893163    ,0.008050589  ,0.26416495   ,0.72778445   ,             0 ,0.396714285714286   ,-0.0735714285714286  ,0.047                ,0.3272               ,-0.186               ,-0.0248              ,        53 ,        12 ,0.000143248937092721 ,0.000859365682117641 ,0.000970859604422003 ,0.996418356895447    ,0.00048776192124933  ,0.000533426646143198 ,0.000331573217408732 ,0.000189323167433031  ,6.60294681438245E-05 ,      1 ,      1
sub_1_conv_5  ,"Yeah, that is amazing. That is something that I don't expect in other parts of the world, right? That is... Wow."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,That's great.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,0.013333789   ,0.047628444  ,0.93903774   ,0.0026238705 ,0.017391047  ,0.9799851    ,             1 ,0.290666666666667   ,-0.194               ,0.101666666666667    ,0.916                ,0.33                 ,0.62                 ,        21 ,         2 ,0.000293220567982644 ,0.998143911361694    ,0.000231516314670444 ,0.00045844804844819  ,7.75760709075257E-05 ,3.63613908120897E-05 ,5.79081206524279E-05 ,0.000614777905866504  ,8.61474327393808E-05 ,      0 ,      1
sub_1_conv_6  ,"So I get actually kind of angry when I cannot leave work on time, when I have a lot of things to do and like my boss tells me to stay here and have to work, you know, that's really annoying."                                                                                                                                                                                                                                                                                                                                                                                                      ,I agree. I also don't want to work overtime.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,0.9707789     ,0.02623877   ,0.00298236   ,0.5625644    ,0.3866928    ,0.050742812  ,             1 ,0.1424              ,-0.1152              ,0.0573333333333333   ,0.3715               ,0.000999999999999999 ,0.211                ,        41 ,         9 ,0.998739898204803    ,0.000316485704388469 ,0.000299828156130388 ,0.0001502853265265   ,3.50053742295131E-05 ,7.22545883036219E-05 ,9.42778351600282E-05 ,6.82474710629322E-05  ,0.000223731098230928 ,      1 ,      1
